scale,renderFactor,count,mean,std
0.01,0.5,84005.0,504.508860052549,40.21563292652092
0.01,0.75,84005.0,499.5462084780003,38.12643687612844
0.01,1.0,84005.0,502.3918918550246,37.64151185328269
0.01,1.5,84005.0,506.2774725859367,31.412658394948313
0.01,2.0,84005.0,508.39977507353456,27.54733869463296
0.01,3.0,84005.0,504.74531120407374,25.560878904924678
0.025,0.5,84005.0,498.0789551031408,35.80575915037394
0.025,0.75,84005.0,494.3324755989988,41.29918217062984
0.025,1.0,84005.0,497.36761764065164,34.49461102046407
0.025,1.5,84005.0,500.30789722384566,34.265335692792085
0.025,2.0,84005.0,501.6256737581162,30.574011728534373
0.025,3.0,84005.0,504.0219507000738,28.144042761287416
0.05,0.5,84005.0,496.3782010855953,45.869789132846215
0.05,0.75,84005.0,493.5816948232814,47.77538234103504
0.05,1.0,84005.0,493.70989266917996,36.855814866394745
0.05,1.5,84005.0,503.371252424693,31.070189324544874
0.05,2.0,84005.0,505.3234579099358,29.558683533980698
0.05,3.0,84005.0,504.89825800311957,28.078436739062642
